MarkNo,CaptureNo,ScaleNo,ScaleNoMax,Period,AgeTotal,AgeRiver,AgeLake,Length,SmoltingStatus,MaturationStatus,SpawnStatus,Year,Sex,Origin,HatchYear,AgeAtSmolting,LengthAtSmolting,AgeAtMaturation,LengthAtMaturation,SpawnCount,CaptureYear
X 8756,1,1,1,River,1,1,0,74,0,0,0,1963,female,wild,1962,3,200,6,670,1,1968
X 8756,1,1,1,River,2,2,0,133,0,0,0,1964,female,wild,1962,3,200,6,670,1,1968
X 8756,1,1,1,River,3,3,0,200,1,0,0,1965,female,wild,1962,3,200,6,670,1,1968
X 8756,1,1,1,Lake,4,3,1,370,1,0,0,1966,female,wild,1962,3,200,6,670,1,1968
X 8756,1,1,1,Lake,5,3,2,549,1,0,0,1967,female,wild,1962,3,200,6,670,1,1968
X 8756,1,1,1,Lake,6,3,3,670,1,1,1,1968,female,wild,1962,3,200,6,670,1,1968
X 8757,1,1,1,River,1,1,0,78,0,0,0,1961,female,wild,1960,4,254,6,546,2,1968
X 8757,1,1,1,River,2,2,0,152,0,0,0,1962,female,wild,1960,4,254,6,546,2,1968
X 8757,1,1,1,River,3,3,0,206,0,0,0,1963,female,wild,1960,4,254,6,546,2,1968
X 8757,1,1,1,River,4,4,0,254,1,0,0,1964,female,wild,1960,4,254,6,546,2,1968
X 8757,1,1,1,Lake,5,4,1,412,1,0,0,1965,female,wild,1960,4,254,6,546,2,1968
X 8757,1,1,1,Lake,6,4,2,546,1,1,1,1966,female,wild,1960,4,254,6,546,2,1968
X 8757,1,1,1,Lake,7,4,3,597,1,1,0,1967,female,wild,1960,4,254,6,546,2,1968
X 8757,1,1,1,Lake,8,4,4,710,1,1,1,1968,female,wild,1960,4,254,6,546,2,1968
X 8758,1,1,1,River,1,1,0,72,0,0,0,1962,female,wild,1961,5,351,7,680,1,1968
X 8758,1,1,1,River,2,2,0,119,0,0,0,1963,female,wild,1961,5,351,7,680,1,1968
X 8758,1,1,1,River,3,3,0,220,0,0,0,1964,female,wild,1961,5,351,7,680,1,1968
X 8758,1,1,1,River,4,4,0,274,0,0,0,1965,female,wild,1961,5,351,7,680,1,1968
X 8758,1,1,1,River,5,5,0,351,1,0,0,1966,female,wild,1961,5,351,7,680,1,1968
X 8758,1,1,1,Lake,6,5,1,502,1,0,0,1967,female,wild,1961,5,351,7,680,1,1968
X 8758,1,1,1,Lake,7,5,2,680,1,1,1,1968,female,wild,1961,5,351,7,680,1,1968
X 8759,1,1,1,River,1,1,0,51,0,0,0,1963,female,wild,1962,2,112,6,550,1,1968
X 8759,1,1,1,River,2,2,0,112,1,0,0,1964,female,wild,1962,2,112,6,550,1,1968
X 8759,1,1,1,Lake,3,2,1,260,1,0,0,1965,female,wild,1962,2,112,6,550,1,1968
X 8759,1,1,1,Lake,4,2,2,364,1,0,0,1966,female,wild,1962,2,112,6,550,1,1968
X 8759,1,1,1,Lake,5,2,3,463,1,0,0,1967,female,wild,1962,2,112,6,550,1,1968
X 8759,1,1,1,Lake,6,2,4,550,1,1,1,1968,female,wild,1962,2,112,6,550,1,1968
X 8760,1,1,1,River,1,1,0,58,0,0,0,1963,female,wild,1962,4,305,6,593,1,1968
X 8760,1,1,1,River,2,2,0,155,0,0,0,1964,female,wild,1962,4,305,6,593,1,1968
X 8760,1,1,1,River,3,3,0,230,0,0,0,1965,female,wild,1962,4,305,6,593,1,1968
X 8760,1,1,1,River,4,4,0,305,1,0,0,1966,female,wild,1962,4,305,6,593,1,1968
X 8760,1,1,1,Lake,5,4,1,460,1,0,0,1967,female,wild,1962,4,305,6,593,1,1968
X 8760,1,1,1,Lake,6,4,2,593,1,1,1,1968,female,wild,1962,4,305,6,593,1,1968
X 8761,1,1,1,River,1,1,0,69,0,0,0,1960,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,River,2,2,0,152,0,0,0,1961,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,River,3,3,0,234,0,0,0,1962,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,River,4,4,0,310,1,0,0,1963,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,Lake,5,4,1,462,1,0,0,1964,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,Lake,6,4,2,648,1,0,0,1965,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,Lake,7,4,3,737,1,1,1,1966,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,Lake,8,4,4,744,1,1,0,1967,female,wild,1959,4,310,7,737,2,1968
X 8761,1,1,1,Lake,9,4,5,820,1,1,1,1968,female,wild,1959,4,310,7,737,2,1968
X 8762,1,1,1,River,1,1,0,49,0,0,0,1963,female,wild,1962,2,106,6,670,1,1968
X 8762,1,1,1,River,2,2,0,106,1,0,0,1964,female,wild,1962,2,106,6,670,1,1968
X 8762,1,1,1,Lake,3,2,1,274,1,0,0,1965,female,wild,1962,2,106,6,670,1,1968
X 8762,1,1,1,Lake,4,2,2,406,1,0,0,1966,female,wild,1962,2,106,6,670,1,1968
X 8762,1,1,1,Lake,5,2,3,559,1,0,0,1967,female,wild,1962,2,106,6,670,1,1968
X 8762,1,1,1,Lake,6,2,4,670,1,1,1,1968,female,wild,1962,2,106,6,670,1,1968
X 8764,1,1,1,River,1,1,0,60,0,0,0,1963,female,wild,1962,3,265,6,690,1,1968
X 8764,1,1,1,River,2,2,0,160,0,0,0,1964,female,wild,1962,3,265,6,690,1,1968
X 8764,1,1,1,River,3,3,0,265,1,0,0,1965,female,wild,1962,3,265,6,690,1,1968
X 8764,1,1,1,Lake,4,3,1,415,1,0,0,1966,female,wild,1962,3,265,6,690,1,1968
X 8764,1,1,1,Lake,5,3,2,570,1,0,0,1967,female,wild,1962,3,265,6,690,1,1968
X 8764,1,1,1,Lake,6,3,3,690,1,1,1,1968,female,wild,1962,3,265,6,690,1,1968
X 8765,1,1,1,River,1,1,0,40,0,0,0,1963,female,wild,1962,4,196,6,504,1,1968
X 8765,1,1,1,River,2,2,0,95,0,0,0,1964,female,wild,1962,4,196,6,504,1,1968
X 8765,1,1,1,River,3,3,0,152,0,0,0,1965,female,wild,1962,4,196,6,504,1,1968
X 8765,1,1,1,River,4,4,0,196,1,0,0,1966,female,wild,1962,4,196,6,504,1,1968
X 8765,1,1,1,Lake,5,4,1,344,1,0,0,1967,female,wild,1962,4,196,6,504,1,1968
X 8765,1,1,1,Lake,6,4,2,504,1,1,1,1968,female,wild,1962,4,196,6,504,1,1968
X 8766,1,1,1,River,1,1,0,69,0,0,0,1961,male,wild,1960,4,247,6,626,2,1968
X 8766,1,1,1,River,2,2,0,132,0,0,0,1962,male,wild,1960,4,247,6,626,2,1968
X 8766,1,1,1,River,3,3,0,189,0,0,0,1963,male,wild,1960,4,247,6,626,2,1968
X 8766,1,1,1,River,4,4,0,247,1,0,0,1964,male,wild,1960,4,247,6,626,2,1968
X 8766,1,1,1,Lake,5,4,1,439,1,0,0,1965,male,wild,1960,4,247,6,626,2,1968
X 8766,1,1,1,Lake,6,4,2,626,1,1,1,1966,male,wild,1960,4,247,6,626,2,1968
X 8766,1,1,1,Lake,7,4,3,683,1,1,0,1967,male,wild,1960,4,247,6,626,2,1968
X 8766,1,1,1,Lake,8,4,4,770,1,1,1,1968,male,wild,1960,4,247,6,626,2,1968
X 8767,1,1,1,River,1,1,0,61,0,0,0,1960,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,River,2,2,0,136,0,0,0,1961,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,River,3,3,0,255,1,0,0,1962,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,Lake,4,3,1,414,1,0,0,1963,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,Lake,5,3,2,577,1,1,1,1964,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,Lake,6,3,3,603,1,1,0,1965,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,Lake,7,3,4,701,1,1,1,1966,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,Lake,8,3,5,710,1,1,0,1967,male,wild,1959,3,255,5,577,3,1968
X 8767,1,1,1,Lake,9,3,6,800,1,1,1,1968,male,wild,1959,3,255,5,577,3,1968
X 8768,1,1,1,River,1,1,0,49,0,0,0,1959,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,River,2,2,0,122,0,0,0,1960,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,River,3,3,0,182,0,0,0,1961,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,River,4,4,0,243,1,0,0,1962,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,Lake,5,4,1,352,1,0,0,1963,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,Lake,6,4,2,486,1,0,0,1964,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,Lake,7,4,3,614,1,0,0,1965,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,Lake,8,4,4,717,1,1,1,1966,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,Lake,9,4,5,723,1,1,0,1967,male,wild,1958,4,243,8,717,2,1968
X 8768,1,1,1,Lake,10,4,6,790,1,1,1,1968,male,wild,1958,4,243,8,717,2,1968
X 8769,1,1,1,River,1,1,0,66,0,0,0,1956,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,River,2,2,0,114,0,0,0,1957,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,River,3,3,0,156,0,0,0,1958,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,River,4,4,0,216,0,0,0,1959,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,River,5,5,0,269,1,0,0,1960,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,6,5,1,461,1,0,0,1961,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,7,5,2,617,1,0,0,1962,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,8,5,3,760,1,0,0,1963,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,9,5,4,850,1,1,1,1964,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,10,5,5,856,1,1,0,1965,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,11,5,6,880,1,1,1,1966,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,12,5,7,886,1,1,0,1967,male,wild,1955,5,269,9,850,3,1968
X 8769,1,1,1,Lake,13,5,8,910,1,1,1,1968,male,wild,1955,5,269,9,850,3,1968
X 8770,1,1,1,River,1,1,0,85,0,0,0,1965,male,wild,1964,3,244,4,406,1,1968
X 8770,1,1,1,River,2,2,0,156,0,0,0,1966,male,wild,1964,3,244,4,406,1,1968
X 8770,1,1,1,River,3,3,0,244,1,0,0,1967,male,wild,1964,3,244,4,406,1,1968
X 8770,1,1,1,Lake,4,3,1,406,1,1,1,1968,male,wild,1964,3,244,4,406,1,1968
X 8771,1,1,1,River,1,1,0,58,0,0,0,1964,male,wild,1963,3,188,5,517,1,1968
X 8771,1,1,1,River,2,2,0,137,0,0,0,1965,male,wild,1963,3,188,5,517,1,1968
X 8771,1,1,1,River,3,3,0,188,1,0,0,1966,male,wild,1963,3,188,5,517,1,1968
X 8771,1,1,1,Lake,4,3,1,355,1,0,0,1967,male,wild,1963,3,188,5,517,1,1968
X 8771,1,1,1,Lake,5,3,2,517,1,1,1,1968,male,wild,1963,3,188,5,517,1,1968
X 8772,1,1,1,Lake,NA,NA,1,334,1,0,0,1967,female,wild,NA,NA,194,NA,415,1,1968
X 8772,1,1,1,Lake,NA,NA,2,415,1,1,1,1968,female,wild,NA,NA,194,NA,415,1,1968
X 8773,1,1,1,River,1,1,0,88,0,0,0,1960,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,River,2,2,0,177,0,0,0,1961,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,River,3,3,0,259,0,0,0,1962,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,River,4,4,0,309,1,0,0,1963,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,Lake,5,4,1,486,1,0,0,1964,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,Lake,6,4,2,621,1,0,0,1965,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,Lake,7,4,3,739,1,1,1,1966,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,Lake,8,4,4,745,1,1,0,1967,male,wild,1959,4,309,7,739,2,1968
X 8773,1,1,1,Lake,9,4,5,810,1,1,1,1968,male,wild,1959,4,309,7,739,2,1968
X 8774,1,1,1,River,1,1,0,75,0,0,0,1961,male,wild,1960,2,160,6,730,2,1968
X 8774,1,1,1,River,2,2,0,160,1,0,0,1962,male,wild,1960,2,160,6,730,2,1968
X 8774,1,1,1,Lake,3,2,1,295,1,0,0,1963,male,wild,1960,2,160,6,730,2,1968
X 8774,1,1,1,Lake,4,2,2,460,1,0,0,1964,male,wild,1960,2,160,6,730,2,1968
X 8774,1,1,1,Lake,5,2,3,600,1,0,0,1965,male,wild,1960,2,160,6,730,2,1968
X 8774,1,1,1,Lake,6,2,4,730,1,1,1,1966,male,wild,1960,2,160,6,730,2,1968
X 8774,1,1,1,Lake,7,2,5,740,1,1,0,1967,male,wild,1960,2,160,6,730,2,1968
X 8774,1,1,1,Lake,8,2,6,830,1,1,1,1968,male,wild,1960,2,160,6,730,2,1968
X 8775,1,1,1,River,1,1,0,62,0,0,0,1963,male,wild,1962,4,254,6,610,1,1968
X 8775,1,1,1,River,2,2,0,120,0,0,0,1964,male,wild,1962,4,254,6,610,1,1968
X 8775,1,1,1,River,3,3,0,179,0,0,0,1965,male,wild,1962,4,254,6,610,1,1968
X 8775,1,1,1,River,4,4,0,254,1,0,0,1966,male,wild,1962,4,254,6,610,1,1968
X 8775,1,1,1,Lake,5,4,1,436,1,0,0,1967,male,wild,1962,4,254,6,610,1,1968
X 8775,1,1,1,Lake,6,4,2,610,1,1,1,1968,male,wild,1962,4,254,6,610,1,1968
X 8776,1,1,1,River,1,1,0,69,0,0,0,1964,male,wild,1963,3,233,5,576,1,1968
X 8776,1,1,1,River,2,2,0,136,0,0,0,1965,male,wild,1963,3,233,5,576,1,1968
X 8776,1,1,1,River,3,3,0,233,1,0,0,1966,male,wild,1963,3,233,5,576,1,1968
X 8776,1,1,1,Lake,4,3,1,382,1,0,0,1967,male,wild,1963,3,233,5,576,1,1968
X 8776,1,1,1,Lake,5,3,2,576,1,1,1,1968,male,wild,1963,3,233,5,576,1,1968
X 8777,1,1,1,River,1,1,0,50,0,0,0,1961,male,wild,1960,3,251,6,708,2,1968
X 8777,1,1,1,River,2,2,0,126,0,0,0,1962,male,wild,1960,3,251,6,708,2,1968
X 8777,1,1,1,River,3,3,0,251,1,0,0,1963,male,wild,1960,3,251,6,708,2,1968
X 8777,1,1,1,Lake,4,3,1,397,1,0,0,1964,male,wild,1960,3,251,6,708,2,1968
X 8777,1,1,1,Lake,5,3,2,549,1,0,0,1965,male,wild,1960,3,251,6,708,2,1968
X 8777,1,1,1,Lake,6,3,3,708,1,1,1,1966,male,wild,1960,3,251,6,708,2,1968
X 8777,1,1,1,Lake,7,3,4,711,1,1,0,1967,male,wild,1960,3,251,6,708,2,1968
X 8777,1,1,1,Lake,8,3,5,820,1,1,1,1968,male,wild,1960,3,251,6,708,2,1968
X 8778,1,1,1,Lake,NA,NA,1,392,1,0,0,1965,female,wild,NA,NA,257,NA,561,2,1968
X 8778,1,1,1,Lake,NA,NA,2,561,1,1,1,1966,female,wild,NA,NA,257,NA,561,2,1968
X 8778,1,1,1,Lake,NA,NA,3,597,1,1,0,1967,female,wild,NA,NA,257,NA,561,2,1968
X 8778,1,1,1,Lake,NA,NA,4,710,1,1,1,1968,female,wild,NA,NA,257,NA,561,2,1968
X 8779,1,1,1,River,1,1,0,49,0,0,0,1963,female,wild,1962,4,247,6,543,1,1968
X 8779,1,1,1,River,2,2,0,128,0,0,0,1964,female,wild,1962,4,247,6,543,1,1968
X 8779,1,1,1,River,3,3,0,190,0,0,0,1965,female,wild,1962,4,247,6,543,1,1968
X 8779,1,1,1,River,4,4,0,247,1,0,0,1966,female,wild,1962,4,247,6,543,1,1968
X 8779,1,1,1,Lake,5,4,1,404,1,0,0,1967,female,wild,1962,4,247,6,543,1,1968
X 8779,1,1,1,Lake,6,4,2,543,1,1,1,1968,female,wild,1962,4,247,6,543,1,1968
X 8780,1,1,1,River,1,1,0,59,0,0,0,1963,female,wild,1962,2,123,6,650,1,1968
X 8780,1,1,1,River,2,2,0,123,1,0,0,1964,female,wild,1962,2,123,6,650,1,1968
X 8780,1,1,1,Lake,3,2,1,243,1,0,0,1965,female,wild,1962,2,123,6,650,1,1968
X 8780,1,1,1,Lake,4,2,2,371,1,0,0,1966,female,wild,1962,2,123,6,650,1,1968
X 8780,1,1,1,Lake,5,2,3,527,1,0,0,1967,female,wild,1962,2,123,6,650,1,1968
X 8780,1,1,1,Lake,6,2,4,650,1,1,1,1968,female,wild,1962,2,123,6,650,1,1968
X 8781,1,1,1,River,1,1,0,59,0,0,0,1961,female,wild,1960,8,468,NA,NA,NA,1968
X 8781,1,1,1,River,2,2,0,110,0,0,0,1962,female,wild,1960,8,468,NA,NA,NA,1968
X 8781,1,1,1,River,3,3,0,150,0,0,0,1963,female,wild,1960,8,468,NA,NA,NA,1968
X 8781,1,1,1,River,4,4,0,209,0,0,0,1964,female,wild,1960,8,468,NA,NA,NA,1968
X 8781,1,1,1,River,5,5,0,259,0,0,0,1965,female,wild,1960,8,468,NA,NA,NA,1968
X 8781,1,1,1,River,6,6,0,313,0,0,0,1966,female,wild,1960,8,468,NA,NA,NA,1968
X 8781,1,1,1,River,7,7,0,366,0,0,0,1967,female,wild,1960,8,468,NA,NA,NA,1968
X 8781,1,1,1,River,8,8,0,468,1,0,0,1968,female,wild,1960,8,468,NA,NA,NA,1968
X 8782,1,1,1,River,1,1,0,55,0,0,0,1962,female,wild,1961,5,309,7,593,1,1968
X 8782,1,1,1,River,2,2,0,109,0,0,0,1963,female,wild,1961,5,309,7,593,1,1968
X 8782,1,1,1,River,3,3,0,188,0,0,0,1964,female,wild,1961,5,309,7,593,1,1968
X 8782,1,1,1,River,4,4,0,258,0,0,0,1965,female,wild,1961,5,309,7,593,1,1968
X 8782,1,1,1,River,5,5,0,309,1,0,0,1966,female,wild,1961,5,309,7,593,1,1968
X 8782,1,1,1,Lake,6,5,1,463,1,0,0,1967,female,wild,1961,5,309,7,593,1,1968
X 8782,1,1,1,Lake,7,5,2,593,1,1,1,1968,female,wild,1961,5,309,7,593,1,1968
X 8784,1,1,1,River,1,1,0,72,0,0,0,1963,female,wild,1962,3,237,6,690,1,1968
X 8784,1,1,1,River,2,2,0,152,0,0,0,1964,female,wild,1962,3,237,6,690,1,1968
X 8784,1,1,1,River,3,3,0,237,1,0,0,1965,female,wild,1962,3,237,6,690,1,1968
X 8784,1,1,1,Lake,4,3,1,422,1,0,0,1966,female,wild,1962,3,237,6,690,1,1968
X 8784,1,1,1,Lake,5,3,2,569,1,0,0,1967,female,wild,1962,3,237,6,690,1,1968
X 8784,1,1,1,Lake,6,3,3,690,1,1,1,1968,female,wild,1962,3,237,6,690,1,1968
X 8785,1,1,1,River,1,1,0,65,0,0,0,1958,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,River,2,2,0,150,0,0,0,1959,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,River,3,3,0,202,0,0,0,1960,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,River,4,4,0,254,1,0,0,1961,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,Lake,5,4,1,462,1,1,1,1962,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,Lake,6,4,2,533,1,1,0,1963,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,Lake,7,4,3,585,1,1,1,1964,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,Lake,8,4,4,598,1,1,0,1965,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,Lake,9,4,5,709,1,1,1,1966,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,Lake,10,4,6,741,1,1,0,1967,female,wild,1957,4,254,5,462,4,1968
X 8785,1,1,1,Lake,11,4,7,774,1,1,1,1968,female,wild,1957,4,254,5,462,4,1968
X 8786,1,1,1,River,1,1,0,35,0,0,0,1958,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,River,2,2,0,89,0,0,0,1959,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,River,3,3,0,165,0,0,0,1960,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,River,4,4,0,260,1,0,0,1961,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,Lake,5,4,1,407,1,0,0,1962,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,Lake,6,4,2,496,1,1,1,1963,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,Lake,7,4,3,537,1,1,1,1964,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,Lake,8,4,4,572,1,1,0,1965,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,Lake,9,4,5,690,1,1,1,1966,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,Lake,10,4,6,696,1,1,0,1967,female,wild,1957,4,260,6,496,4,1968
X 8786,1,1,1,Lake,11,4,7,720,1,1,1,1968,female,wild,1957,4,260,6,496,4,1968
X 8787,1,1,1,River,1,1,0,62,0,0,0,1963,female,wild,1962,4,281,6,599,1,1968
X 8787,1,1,1,River,2,2,0,141,0,0,0,1964,female,wild,1962,4,281,6,599,1,1968
X 8787,1,1,1,River,3,3,0,198,0,0,0,1965,female,wild,1962,4,281,6,599,1,1968
X 8787,1,1,1,River,4,4,0,281,1,0,0,1966,female,wild,1962,4,281,6,599,1,1968
X 8787,1,1,1,Lake,5,4,1,430,1,0,0,1967,female,wild,1962,4,281,6,599,1,1968
X 8787,1,1,1,Lake,6,4,2,599,1,1,1,1968,female,wild,1962,4,281,6,599,1,1968
X 8790,1,1,1,River,1,1,0,42,0,0,0,1963,female,wild,1962,3,239,6,680,1,1968
X 8790,1,1,1,River,2,2,0,147,0,0,0,1964,female,wild,1962,3,239,6,680,1,1968
X 8790,1,1,1,River,3,3,0,239,1,0,0,1965,female,wild,1962,3,239,6,680,1,1968
X 8790,1,1,1,Lake,4,3,1,381,1,0,0,1966,female,wild,1962,3,239,6,680,1,1968
X 8790,1,1,1,Lake,5,3,2,525,1,0,0,1967,female,wild,1962,3,239,6,680,1,1968
X 8790,1,1,1,Lake,6,3,3,680,1,1,1,1968,female,wild,1962,3,239,6,680,1,1968
X 8792,1,1,1,River,1,1,0,55,0,0,0,1961,female,wild,1960,3,213,6,683,2,1968
X 8792,1,1,1,River,2,2,0,126,0,0,0,1962,female,wild,1960,3,213,6,683,2,1968
X 8792,1,1,1,River,3,3,0,213,1,0,0,1963,female,wild,1960,3,213,6,683,2,1968
X 8792,1,1,1,Lake,4,3,1,429,1,0,0,1964,female,wild,1960,3,213,6,683,2,1968
X 8792,1,1,1,Lake,5,3,2,571,1,0,0,1965,female,wild,1960,3,213,6,683,2,1968
X 8792,1,1,1,Lake,6,3,3,683,1,1,1,1966,female,wild,1960,3,213,6,683,2,1968
X 8792,1,1,1,Lake,7,3,4,719,1,1,0,1967,female,wild,1960,3,213,6,683,2,1968
X 8792,1,1,1,Lake,8,3,5,790,1,1,1,1968,female,wild,1960,3,213,6,683,2,1968
X 8793,1,1,1,River,1,1,0,51,0,0,0,1963,female,wild,1962,3,222,6,670,1,1968
X 8793,1,1,1,River,2,2,0,111,0,0,0,1964,female,wild,1962,3,222,6,670,1,1968
X 8793,1,1,1,River,3,3,0,222,1,0,0,1965,female,wild,1962,3,222,6,670,1,1968
X 8793,1,1,1,Lake,4,3,1,381,1,0,0,1966,female,wild,1962,3,222,6,670,1,1968
X 8793,1,1,1,Lake,5,3,2,528,1,0,0,1967,female,wild,1962,3,222,6,670,1,1968
X 8793,1,1,1,Lake,6,3,3,670,1,1,1,1968,female,wild,1962,3,222,6,670,1,1968
X 8794,1,1,1,River,1,1,0,56,0,0,0,1962,female,wild,1961,4,233,7,677,1,1968
X 8794,1,1,1,River,2,2,0,114,0,0,0,1963,female,wild,1961,4,233,7,677,1,1968
X 8794,1,1,1,River,3,3,0,172,0,0,0,1964,female,wild,1961,4,233,7,677,1,1968
X 8794,1,1,1,River,4,4,0,233,1,0,0,1965,female,wild,1961,4,233,7,677,1,1968
X 8794,1,1,1,Lake,5,4,1,394,1,0,0,1966,female,wild,1961,4,233,7,677,1,1968
X 8794,1,1,1,Lake,6,4,2,559,1,0,0,1967,female,wild,1961,4,233,7,677,1,1968
X 8794,1,1,1,Lake,7,4,3,677,1,1,1,1968,female,wild,1961,4,233,7,677,1,1968
X 8795,1,1,1,River,1,1,0,51,0,0,0,1962,female,wild,1961,4,257,7,659,1,1968
X 8795,1,1,1,River,2,2,0,111,0,0,0,1963,female,wild,1961,4,257,7,659,1,1968
X 8795,1,1,1,River,3,3,0,181,0,0,0,1964,female,wild,1961,4,257,7,659,1,1968
X 8795,1,1,1,River,4,4,0,257,1,0,0,1965,female,wild,1961,4,257,7,659,1,1968
X 8795,1,1,1,Lake,5,4,1,392,1,0,0,1966,female,wild,1961,4,257,7,659,1,1968
X 8795,1,1,1,Lake,6,4,2,543,1,0,0,1967,female,wild,1961,4,257,7,659,1,1968
X 8795,1,1,1,Lake,7,4,3,659,1,1,1,1968,female,wild,1961,4,257,7,659,1,1968
X 8796,1,1,1,River,1,1,0,75,1,0,0,1963,female,wild,1962,1,75,6,740,1,1968
X 8796,1,1,1,Lake,2,1,1,205,1,0,0,1964,female,wild,1962,1,75,6,740,1,1968
X 8796,1,1,1,Lake,3,1,2,305,1,0,0,1965,female,wild,1962,1,75,6,740,1,1968
X 8796,1,1,1,Lake,4,1,3,470,1,0,0,1966,female,wild,1962,1,75,6,740,1,1968
X 8796,1,1,1,Lake,5,1,4,615,1,0,0,1967,female,wild,1962,1,75,6,740,1,1968
X 8796,1,1,1,Lake,6,1,5,740,1,1,1,1968,female,wild,1962,1,75,6,740,1,1968
X 8798,1,1,1,River,1,1,0,55,0,0,0,1962,female,wild,1961,4,310,7,730,1,1968
X 8798,1,1,1,River,2,2,0,149,0,0,0,1963,female,wild,1961,4,310,7,730,1,1968
X 8798,1,1,1,River,3,3,0,235,0,0,0,1964,female,wild,1961,4,310,7,730,1,1968
X 8798,1,1,1,River,4,4,0,310,1,0,0,1965,female,wild,1961,4,310,7,730,1,1968
X 8798,1,1,1,Lake,5,4,1,478,1,0,0,1966,female,wild,1961,4,310,7,730,1,1968
X 8798,1,1,1,Lake,6,4,2,633,1,0,0,1967,female,wild,1961,4,310,7,730,1,1968
X 8798,1,1,1,Lake,7,4,3,730,1,1,1,1968,female,wild,1961,4,310,7,730,1,1968
X 8799,1,1,1,River,1,1,0,77,0,0,0,1960,female,wild,1959,4,298,7,726,2,1968
X 8799,1,1,1,River,2,2,0,151,0,0,0,1961,female,wild,1959,4,298,7,726,2,1968
X 8799,1,1,1,River,3,3,0,218,0,0,0,1962,female,wild,1959,4,298,7,726,2,1968
X 8799,1,1,1,River,4,4,0,298,1,0,0,1963,female,wild,1959,4,298,7,726,2,1968
X 8799,1,1,1,Lake,5,4,1,452,1,0,0,1964,female,wild,1959,4,298,7,726,2,1968
X 8799,1,1,1,Lake,6,4,2,599,1,0,0,1965,female,wild,1959,4,298,7,726,2,1968
